id,name,description,attribution,connection_info,next_id,max_attempts,value,category,type,state,logic,requirements
34,01.07. not rsa,"Информация:
* [Малая теорема Ферма](https://ru.m.wikipedia.org/wiki/%D0%9C%D0%B0%D0%BB%D0%B0%D1%8F_%D1%82%D0%B5%D0%BE%D1%80%D0%B5%D0%BC%D0%B0_%D0%A4%D0%B5%D1%80%D0%BC%D0%B0)",,nc ctf.neimark-it.ru 20107,,0,80,Криптография,standard,visible,any,
35,01.08. fermat,"Информация:
* [Малая теорема Ферма](https://ru.m.wikipedia.org/wiki/%D0%9C%D0%B0%D0%BB%D0%B0%D1%8F_%D1%82%D0%B5%D0%BE%D1%80%D0%B5%D0%BC%D0%B0_%D0%A4%D0%B5%D1%80%D0%BC%D0%B0)",,nc ctf.neimark-it.ru 20108,,0,35,Криптография,standard,visible,any,
36,01.09. rsa,"Информация:
* [Теорема Эйлера](https://ru.wikipedia.org/wiki/%D0%A2%D0%B5%D0%BE%D1%80%D0%B5%D0%BC%D0%B0_%D0%AD%D0%B9%D0%BB%D0%B5%D1%80%D0%B0_(%D1%82%D0%B5%D0%BE%D1%80%D0%B8%D1%8F_%D1%87%D0%B8%D1%81%D0%B5%D0%BB))",,,,0,90,Криптография,standard,visible,any,
37,02.04. ECB Oracle,"Альтернативный сервер: [https://aes.cryptohack.org/ecb_oracle/](https://aes.cryptohack.org/ecb_oracle/)

Примечание: для решения таска процесс следует автоматизировать.",,http://ctf.neimark-it.ru:20204/,,0,80,Криптография,standard,visible,any,
38,02.05. Flipping Cookie,Альтернативный сервер: [https://aes.cryptohack.org/flipping_cookie/](https://aes.cryptohack.org/flipping_cookie/),,http://ctf.neimark-it.ru:20205/,,0,60,Криптография,standard,visible,any,
40,01.10. factor rsa,,,,,0,100,Криптография,standard,visible,any,
41,01.11. decrypt elgamal ,"Информация:
* [ElGamal_encryption](https://en.wikipedia.org/wiki/ElGamal_encryption)",,nc ctf.neimark-it.ru 20111,,0,60,Криптография,standard,visible,any,
45,01.12. Pohlig-Hellman,,,nc ctf.neimark-it.ru 20112,,0,95,Криптография,standard,visible,any,
46,01.13. ...,"Информация:
* [Fibonacci_sequence Binet's formula](https://en.wikipedia.org/wiki/Fibonacci_sequence#Closed-form_expression)
* [Paillier_cryptosystem дискретный логарифм](https://en.wikipedia.org/wiki/Paillier_cryptosystem#Background)",,,,0,200,Криптография,standard,visible,any,
47,01.14. lattice (or not),,,nc ctf.neimark-it.ru 20114,,0,150,Криптография,standard,visible,any,
49,02.06. AES web token,Расширенная версия 02.05. Flipping Cookie. Требует автоматизации. Нужно заметить не криптографическую утечку информации в скрипте в ошибке.,,nc ctf.neimark-it.ru 20206,,0,150,Криптография,standard,visible,any,
50,01.15. epsilon,для решения задачи не нужны никакие дополнительные теоремы помимо модулярной арифметики и обратных,,,,0,150,Криптография,standard,visible,any,
51,02.07. khafre decrypt,,,nc ctf.neimark-it.ru 20207,,0,80,Криптография,standard,visible,any,
53,02.08. khafre one byte,"Информация:
* [Дифференциальный криптоанализ](https://ru.wikipedia.org/wiki/%D0%94%D0%B8%D1%84%D1%84%D0%B5%D1%80%D0%B5%D0%BD%D1%86%D0%B8%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9_%D0%BA%D1%80%D0%B8%D0%BF%D1%82%D0%BE%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D0%B7)
* Начальная разница - `[0 0 a 0 | 0 0 0 0]`",,nc ctf.neimark-it.ru 20208,,0,150,Криптография,standard,visible,any,
54,02.09. khafre ultimate,продолжение khafre one byte,,nc ctf.neimark-it.ru 20209,,0,200,Криптография,standard,visible,any,
58,01.17. Mod DLP,,,nc ctf.neimark-it.ru 20117,,0,100,Криптография,standard,visible,any,
